"In your first typing test using a KEYBOARD, what was your WPM result","In your first typing test using a KEYBOARD, what was your accuracy","In your second typing test using a KEYBOARD, what was your WPM result","In your second typing test using a KEYBOARD, what was your accuracy","In your third typing test using a KEYBOARD, what was your WPM result","In your third typing test using a KEYBOARD, what was your accuracy","In your first typing test using a MOBILE PHONE, what was your WPM result","In your first typing test using a MOBILE PHONE, what was your accuracy","In your second typing test using a MOBILE PHONE, what was your WPM result","In your second typing test using a MOBILE PHONE, what was your accuracy","In your third typing test using a MOBILE PHONE, what was your WPM result","In your third typing test using a MOBILE PHONE, what was your accuracy","For the typing tests using your MOBILE PHONE, you were asked to use touch typing",What type of mobile phone do you have,"What is the size of your MOBILE PHONE screen (from one corner to the opposite corner, so the length of the diagonal), in centimeters.","For your test using a real keyboard (NOT a mobile phone), which of these best describes the keyboard you used",How old are you,How often do you type on a computer keyboard,Are you a gamer,Do you play a keyboard instrument,Do you currently have a finger injury or other physical limitation(s) that might impact your typing on a KEYBOARD and/or on a MOBILE PHONE,Which of the following statements best describes your fluency in English,,,,,,,
47,92.91,52,87.04,53,91.03,35,88.38,36,91.75,28,71.88,Two fingers,iPhone,15.4,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,No,No,Conversational fluency in English,,,,,,,
70,91.17,73,95.32,76,94.03,35,84.39,28,68.97,29,70.79,Two fingers,Android,16.9418,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,Yes,No,No,Conversational fluency in English,,,,,,,
60,85,66,82,68,90,51,95,47,82,42,73,Two fingers,iPhone,12,"A mechanical keyboard, with raised keys (i.e. a keyboard that is not built in to a laptop, but that is either connected via a cable or bluetooth)",21,Every day or almost every day,Yes,No,No,Professional fluency in English,,,,,,,
44,95.28,40,91.78,45,97.84,42,94.17,39,91.9,41,98.54,Two fingers,iPhone,16.4084,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,No,No,Professional fluency in English,,,,,,,
51,94.07,54,93.08,52,91.43,32,75.83,35,80.56,37,82.51,Two fingers,iPhone,15.494,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,No,Yes,No,Professional fluency in English,,,,,,,
46,91.34,48,94.09,48,95.98,34,93.41,34,91.49,37,89.86,Two fingers,iPhone,15,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,No,No,Fully fluent in English,,,,,,,
83,89.25,84,85.86,87,90.23,51,71.07,45,68.79,45,74.92,Two fingers,iPhone,15.4,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",20,Every day or almost every day,Yes,No,No,Fully fluent in English,,,,,,,
76,92.91,72,88.94,68,81.53,47,84.04,47,81.18,48,83.1,Two fingers,iPhone,16.32,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",20,Every day or almost every day,No,No,No,Professional fluency in English,,,,,,,
33,97.63%,36,95.77%,32,89.39%,34,97.71%,37,98.42%,44,100%,Two fingers,iPhone,15.494,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,Yes,No,Conversational fluency in English,,,,,,,
39,76.08,53,92.68,53,87.17,31,61.94,26,65.02,28,65.09,Two fingers,iPhone,14.9,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,No,No,Professional fluency in English,,,,,,,
40,90.13,50,92.62,54,98.9,40,90.05,32,82.99,41,98.57,Two fingers,iPhone,15.39,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,Yes,No,Yes,Conversational fluency in English,,,,,,,
45,90.28,46,82.91,53,95.7,54,91.89,51,88.81,51,90.14,Two fingers,iPhone,16.97,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,Yes,No,Yes,Conversational fluency in English,,,,,,,
47,96.71,45,93.31,46,97.02,36,93.78,35,92.06,38,93.63,Two fingers,iPhone,15.2,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,No,Yes,No,Professional fluency in English,,,,,,,
47,98.33,43,93.86,51,98.84,33,93.26,39,97.01,43,95.98,Two fingers,iPhone,17.02,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",24,Every day or almost every day,No,Yes,No,Conversational fluency in English,,,,,,,
34,87.24,42,94.22,43,92.61,38,90.87,41,96.23,40,93.46,Two fingers,iPhone,16.4084 cm,"A mechanical keyboard, with raised keys (i.e. a keyboard that is not built in to a laptop, but that is either connected via a cable or bluetooth)",21,Every day or almost every day,No,No,No,Professional fluency in English,,,,,,,
50,92.91,50,91.24,51,92.06,35,88.94,44,99.54,44,96.92,Two fingers,iPhone,15,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",23,Every day or almost every day,No,No,No,Conversational fluency in English,,,,,,,
53,93.68,60,94.64,48,83.51,31,88.07,38,85.33,34,85.79,Two fingers,iPhone,15.3924,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,No,No,Conversational fluency in English,,,,,,,
52,96.27,56,94,52,91.61,36,100,43,95.54,43,97.73,Two fingers,Android,17.06,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,Yes,No,No,Professional fluency in English,,,,,,,
80,93.44,70,85.54,79,96.33,50,91.21,59,96.1,47,84.48,Two fingers,iPhone,11.9,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,Yes,No,Professional fluency in English,,,,,,,
43,95.56,54,95.51,51,95.51,42,86.01,58,96.59,43,95.56,Two fingers,iPhone,78.1mm x 160.8mm,"A mechanical keyboard, with raised keys (i.e. a keyboard that is not built in to a laptop, but that is either connected via a cable or bluetooth)",21,Every day or almost every day,Yes,Yes,No,Conversational fluency in English,,,,,,,
68,91.18,64,89.86,68,95.21,40,88.89,44,94.83,47,99.57,Two fingers,iPhone,15.494,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,Yes,No,No,Fully fluent in English,,,,,,,
43,91.18,67,99.7,55,93.84,37,89.47,44,97.8,50,98.41,Two fingers,iPhone,14,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",21,Every day or almost every day,No,No,No,Fully fluent in English,,,,,,,
40,86.46,46,95.4,48,97.56,47,99.16,45,93.33,44,96.94,Two fingers,iPhone,16,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,No,No,No,Professional fluency in English,,,,,,,
44,93.64,47,96.71,51,96.21,43,90.34,44,94.04,43,93.48,Two fingers,iPhone,15.4,"A laptop keyboard, with low-profile keys (so the keys don't go down much when you type)",22,Every day or almost every day,No,Yes,No,Fully fluent in English,,,,,,,
